leaf1	leaf2	leaf3	leaf4
0.0155048	0.0244759	0.0113154	0.0051942	
0.0147836	0.0138185	0.00557489	0.0141023	
N/A	N/A	N/A	N/A	
0.00291168	0.0049034	0.00820487	0.0157251	
0.00324528	0.00315156	0.0151789	0.00556774	
0.00867958	0.00482289	0.0087996	0.00240356	
N/A	N/A	N/A	N/A	
0.0211786	0.00383734	0.00799486	0.0068718	
0.01197	0.00486532	0.0119191	0.00412913	
0.00465145	0.0103231	0.0134514	0.00191327	
0.00847366	0.0140162	0.0117078	0.00838811	
N/A	N/A	N/A	N/A	
0.0133666	0.00606196	0.00943208	0.0132341	
0.0017219	0.00414863	0.0033165	0.00531266	
0.0166714	0.0039451	0.0207652	0.00436427	
0.0240475	0.00426777	0.0114746	0.00882205	
0.00609388	0.01146	0.0054909	0.00393272	
0.00719921	0.0132542	0.00777356	0.00774574	
0.483529	0.398357	0.371985	0.387513	
0.0285192	0.0052551	0.0127889	0.0102579	
0.0158039	0.0203851	0.00620763	0.020944	
0.0151731	0.045986	0.00853565	0.0111184	
0.0120271	0.00305612	0.00514156	0.00439982	
0.00329435	0.00316079	0.00492084	0.00292301	
0.00916873	0.00782602	0.0262418	0.00472074	
0.0109299	0.00834305	0.0181889	0.0215791	
0.00492093	0.0096313	0.00739889	0.0137303	
0.0124971	0.0149919	0.00792791	0.00672156	
0.0106643	0.00966278	0.0183399	0.00569633	
0.00976222	0.000966579	0.0030979	0.00146541	
0.0302395	0.00433404	0.00932623	0.0136808	
0.00408349	0.00234035	0.00734691	0.0112255	
0.00994039	0.00641502	0.00962719	0.00512567	
0.00559281	0.0188257	0.0071862	0.044029	
0.0118891	0.0163917	0.00665862	0.0133745	
0.0276942	0.0144107	0.00841493	0.0172284	
0.0058738	0.00522978	0.0117704	0.0131726	
0.047383	0.00415081	0.00523095	0.0112995	
0.0109326	0.00625287	0.00384982	0.00512991	
0.00564725	0.0144613	0.0281069	0.00919913	
0.0104788	0.012606	0.0348675	0.0134299	
0.0044246	0.0260246	0.0419311	0.0126359	
0.00464485	0.00258381	0.00664175	0.0121755	
0.0095356	0.00701364	0.012833	0.0038125	
0.0106123	0.00579957	0.0164168	0.00801733	
0.0136502	0.00632475	0.0202449	0.0238584	
0.0121035	0.0211772	0.0194895	0.00577907	
N/A	N/A	N/A	N/A	
0.0113023	0.0161586	0.0301827	0.0234783	
0.0047003	0.00547999	0.0128882	0.0118362	
0.00566218	0.00497469	0.00314128	0.0128019	
0.00643258	0.00757141	0.00692452	0.00536542	
0.00509263	0.00790377	0.00827725	0.00705874	
0.00502376	0.0152462	0.00903286	0.00814321	
0.506722	0.417088	0.664384	0.482896	
0.010313	0.0137151	0.0162998	0.0174398	
0.0079831	0.00253313	0.00941567	0.0196207	
0.0046694	0.0117083	0.0119579	0.024122	
0.00564848	0.00899444	0.00954433	0.0184956	
0.0190307	0.0081494	0.00580108	0.0101994	
N/A	N/A	N/A	N/A	
0.0263257	0.0264869	0.00481596	0.0199087	
0.00489538	0.0130752	0.00661782	0.00221886	
0.0192403	0.0148821	0.00711435	0.00167278	
0.0140799	0.00623868	0.0173631	0.00366149	
0.0185422	0.0100484	0.010326	0.0177503	
N/A	N/A	N/A	N/A	
0.0284601	0.0321159	0.0121926	0.0226654	
0.0154977	0.00595685	0.0113677	0.00694497	
0.0288127	0.0116018	0.0243655	0.00771568	
0.00833575	0.00960369	0.00654474	0.0144228	
0.00402553	0.0124423	0.0123601	0.0123961	
0.00602171	0.00774847	0.0210718	0.0166756	
0.00904426	0.0119801	0.0279524	0.0146441	
0.00678521	0.00559899	0.00484271	0.012179	
0.0153101	0.0140309	0.00964155	0.0142031	
0.0111728	0.00991359	0.0138539	0.0130892	
0.0103076	0.00324391	0.0205116	0.00753449	
0.254584	0.384475	0.275881	0.333647	
0.0184577	0.0384642	0.00877236	0.00934361	
0.0430129	0.021735	0.0183875	0.0230447	
0.0385802	0.0199093	0.02373	0.00815529	
0.00302853	0.00235641	0.00146479	0.0139846	
0.0128444	0.00814657	0.00294999	0.0179124	
0.0202805	0.00256632	0.00568521	0.0242702	
0.0152294	0.00686815	0.0042488	0.00484415	
0.0121952	0.00798398	0.0175784	0.00831206	
0.0103152	0.00842031	0.0139716	0.00199274	
0.013975	0.00793938	0.00947681	0.00540786	
0.0179677	0.00909073	0.00766607	0.00525137	
0.0161977	0.00734477	0.0101764	0.0429567	
0.0156758	0.00632062	0.0397092	0.0288157	
0.0265553	0.0219378	0.00538402	0.00544186	
0.0215836	0.0138084	0.0122392	0.00537082	
0.024639	0.0452153	0.0378203	0.0150328	
0.0248197	0.00567026	0.00637396	0.0456095	
0.0308787	0.00340672	0.0094869	0.0192314	
0.0168644	0.0144472	0.0143296	0.0528783	
0.00319093	0.0270346	0.0241572	0.0154349	
0.0199748	0.00305717	0.0170919	0.0353783	
0.00250266	0.00571715	0.0226582	0.0467906	
0.00631474	0.0179386	0.00560826	0.00792196	
0.015414	0.0252317	0.00533584	0.0119734	
0.0194895	0.0188337	0.0283876	0.0251412	
0.0174764	0.0219353	0.0134735	0.0253817	
0.0159252	0.0117241	0.0221758	0.02995	
0.0218718	0.0155553	0.0132957	0.0236368	
0.0125786	0.00500301	0.0216254	0.0107327	
0.0233268	0.00711742	0.0280403	0.0182156	
0.00461689	0.0106375	0.00491778	0.0240704	
0.0138169	0.0122737	0.00711926	0.00660651	
0.027065	0.02798	0.0126637	0.0262164	
0.018223	0.0117549	0.0127026	0.00395669	
0.0143521	0.0150143	0.0191172	0.00818925	
0.0031814	0.00802378	0.038371	0.0184453	
0.00726351	0.0189294	0.00785358	0.00678332	
0.0115419	0.0154787	0.00845062	0.00572563	
0.0169212	0.0160874	0.0218202	0.0257126	
0.0129521	0.0155639	0.00806825	0.00673478	
0.00641678	0.00477363	0.00843697	0.00616706	
0.00452245	0.00239002	0.010195	0.0056288	
0.00988587	0.00615835	0.00981553	0.00638032	
0.00509465	0.00897925	0.00864383	0.00203997	
0.00153947	0.0124394	0.0102033	0.00242997	
0.00824737	0.00283466	0.0467956	0.0300019	
0.00610306	0.019589	0.0591428	0.0323944	
0.424242	0.436355	0.522321	0.449416	
0.0114599	0.010514	0.00602543	0.0134314	
0.0128415	0.00513427	0.016804	0.00776457	
0.0154993	0.0274867	0.0153931	0.00725974	
0.00856602	0.0293849	0.0056686	0.0101066	
0.0160359	0.0146534	0.0077718	0.0118258	
0.00524053	0.00591519	0.00417818	0.00529964	
0.00945595	0.00556476	0.0139136	0.0155847	
0.00926004	0.0164163	0.0141887	0.0209571	
0.00668321	0.00977804	0.0059684	0.0126258	
