leaf1	leaf2	leaf3	leaf4
0.0407407	0.0161255	0.0344998	0.049038	
0.00881433	0.0131914	0.0325637	0.0496873	
0.0143699	0.0357864	0.0105459	0.0456349	
0.00947571	0.023076	0.0224146	0.0102213	
N/A	N/A	N/A	N/A	
0.00462963	0.00383598	0.0176888	0.00683021	
0.0123136	0.0369408	0.0196609	0.0332492	
0.00458153	0.0196008	0.00586821	0.0301106	
0.0272848	0.0242304	0.0348846	0.013961	
0.0440596	0.0175806	0.017316	0.0174242	
0.0363035	0.0302309	0.00763588	0.0112434	
0.0253367	0.0186508	0.0048581	0.0136604	
0.0333093	0.0382275	0.0414141	0.017785	
0.012506	0.0145262	0.0246032	0.0142256	
0.0194805	0.0234488	0.014442	0.0161496	
0.0217412	0.0468615	0.00788841	0.0307961	
0.000901876	0.00040885	0.00174363	0.000228475	
0.00953583	0.00294613	0.0270803	0.0247835	
0.002886	0.00740741	0.00968013	0.00678211	
0.00311448	0.00865801	0.00606061	0.0285835	
0.0471501	0.0488696	0.0498196	0.0146585	
0.0162217	0.028824	0.0475349	0.0100409	
0.00816498	0.0484728	0.0381193	0.00619288	
0.0126864	0.0333814	0.0433862	0.0416667	
0.0174002	0.0294012	0.0103054	0.0279702	
0.021657	0.0278499	0.0142737	0.0494348	
0.0144901	0.0295455	0.0251203	0.0392977	
0.00987253	0.0256494	0.0305676	0.0400553	
0.0113396	0.0318422	0.0228836	0.00270563	
0.012013	0.0354377	0.00287398	0.00468975	
0.00508658	0.00733526	0.0392256	0.0390813	
0.00731121	0.0148148	0.0175685	0.03943	
0.00590428	0.00276575	0.0031746	0.0132155	
0.00582011	0.0380351	0.0354497	0.00253728	
0.00411255	0.0463805	0.0250481	0.00909091	
0.0107744	0.0138047	0.0138889	0.00214045	
0.0466931	0.00503848	0.00592833	0.0127345	
0.00832131	0.0474026	0.0107383	0.00354738	
0.0483405	0.0378307	0.00650553	0.0025493	
0.0351972	0.010089	0.0383598	0.0294012	
0.0124579	0.00566378	0.0394661	0.018254	
0.00852573	0.00940356	0.00468975	0.00588023	
0.0102333	0.00731121	0.0149952	0.00577201	
0.0117484	0.019228	0.00681818	0.00434103	
0.00717893	0.0122775	0.0151756	0.00644541	
0.0166306	0.0406445	0.00716691	0.021164	
0.00651756	0.0327201	0.0047619	0.00990861	
0.0417869	0.0218134	0.0411736	0.00625301	
0.0146585	0.0179894	0.0325277	0.0346801	
0.0049543	0.00470178	0.0165825	0.00542328	
0.00971621	0.0191558	0.0164863	0.0448052	
0.0140572	0.0130111	0.00911496	0.0284271	
0.0467412	0.0292929	0.00297018	0.00972823	
0.0315657	0.00931938	0.0299543	0.0339586	
0.018759	0.0124459	0.0281265	0.0381313	
0.0106902	0.0116522	0.00705868	0.00562771	
0.0160774	0.0122415	0.029305	0.0341029	
0.0347282	0.041366	0.0281746	0.0364238	
0.0421236	0.0488215	0.0228114	0.0384921	
0.023076	0.0361472	0.024062	0.0354858	
0.0400072	0.0259861	0.0276215	0.0493266	
0.0496753	0.0176046	0.0227754	0.0486893	
0.0275854	0.0479798	0.0025974	0.00431698	
0.0359909	0.00888648	0.00228475	0.00390813	
0.00199615	6.01251e-05	0.0010101	0.00176768	
0.0189875	0.022102	0.0368206	0.0155123	
0.0162458	0.0401034	0.011075	0.0299663	
0.0123016	0.00487013	0.0126142	0.0319986	
0.0266595	0.004329	0.0381674	0.0227633	
0.0115681	0.0135161	0.0301948	0.0186388	
0.0392617	0.0371693	0.043771	0.0398028	
0.0242544	0.0383838	0.0143458	0.0126503	
0.0248918	0.0112554	0.0140572	0.00780423	
